food,calories,protein,fat,fiber,carbohydrates,sodium,calcium,iron,vitamin_c
chicken breast,165,31,3.6,0,0,74,15,1,0
salmon,208,25,12,0,0,59,12,0.8,0
eggs,155,13,11,0,1.1,124,56,1.2,0
milk,42,3.4,1,0,5,44,113,0.1,0
yogurt,59,10,0.4,0,3.6,36,110,0.1,0
cheese,113,7,9,0,1,621,200,0.1,0
rice,130,2.7,0.3,0.4,28,1,28,0.8,0
pasta,131,5,1.1,1.8,25,1,7,0.5,0
bread,265,9,3.2,2.7,49,681,151,3.6,0
potato,77,2,0.1,2.2,17,6,12,0.8,19.7
banana,89,1.1,0.3,2.6,23,1,5,0.3,8.7
apple,52,0.3,0.2,2.4,14,1,6,0.1,4.6
orange,47,0.9,0.1,2.4,12,0,40,0.1,53.2
broccoli,34,2.8,0.4,2.6,7,33,47,0.7,89.2
spinach,23,2.9,0.4,2.2,3.6,79,99,2.7,28.1
carrot,41,0.9,0.2,2.8,10,69,33,0.3,5.9
tomato,18,0.9,0.2,1.2,3.9,5,10,0.3,13.7
avocado,160,2,15,6.7,9,7,12,0.6,10
almonds,579,21,50,12,22,1,269,3.7,0
walnuts,654,15,65,6.7,14,2,98,2.9,1.3
olive oil,884,0,100,0,0,2,1,0.6,0
butter,717,0.9,81,0,0.1,11,24,0,0
sugar,387,0,0,0,100,1,1,0.1,0
honey,304,0.3,0,0.2,82,4,6,0.4,0.5
beef,250,26,15,0,0,72,18,2.6,0
pork,242,27,14,0,0,62,19,0.9,0
fish,206,22,12,0,0,61,12,0.8,0
shrimp,99,24,0.3,0,0.2,111,70,0.5,0
tofu,76,8,4.8,0.3,1.9,7,350,5.4,0.1
beans,127,8.7,0.5,6.4,23,2,35,2.1,0.6
lentils,116,9,0.4,7.9,20,2,19,3.3,1.5
quinoa,120,4.4,1.9,2.8,22,7,17,1.5,0
oats,389,17,7,11,66,2,54,4.7,0
sweet potato,86,1.6,0.1,3,20,54,30,0.7,2.4
corn,96,3.4,1.2,2.7,21,1,2,0.5,6.8
peas,81,5.4,0.4,5.1,14,5,25,1.5,40
bell pepper,31,1,0.3,2.5,7,4,7,0.4,127.7
cucumber,16,0.7,0.1,0.5,4,2,16,0.3,2.8
lettuce,15,1.4,0.2,1.3,2.9,28,36,0.9,9.2
onion,40,1.1,0.1,1.7,9.3,4,37,0.2,7.4
garlic,149,6.4,0.5,2.1,33,17,181,1.7,31.2
ginger,80,1.8,0.8,2,18,13,16,0.6,5
lemon,29,1.1,0.3,2.8,9,2,26,0.6,53
strawberry,32,0.7,0.3,2,7.7,1,16,0.4,58.8
blueberry,57,0.7,0.3,2.4,14,1,6,0.3,9.7
grape,62,0.6,0.2,0.9,16,2,10,0.4,3.2
watermelon,30,0.6,0.2,0.4,8,1,7,0.2,8.1
pineapple,50,0.5,0.1,1.4,13,1,13,0.3,47.8
mango,60,0.8,0.4,1.6,15,1,11,0.2,36.4
peach,39,0.9,0.3,1.5,10,0,6,0.3,6.6
pear,57,0.4,0.1,3.1,15,1,9,0.2,4.3
cherry,63,1.1,0.2,2.1,16,0,13,0.4,7
kiwi,61,1.1,0.5,3,15,3,34,0.3,92.7
coconut,354,3.3,33,9,15,20,14,2.4,3.3
coconut oil,862,0,100,0,0,0,0,0,0
coconut milk,230,2.3,24,2.2,6,13,16,1.6,2.8
dark chocolate,546,7.8,31,11,46,24,73,11.9,0
milk chocolate,535,7.7,30,3.4,59,79,189,2.4,0
coffee,2,0.3,0,0,0,5,5,0.1,0
tea,1,0,0,0,0,1,0,0,0
green tea,1,0,0,0,0,1,0,0,0
red wine,83,0.1,0,0,2.6,4,8,0.5,0
beer,43,0.5,0,0,3.6,4,4,0,0
wine,83,0.1,0,0,2.6,4,8,0.5,0
salt,0,0,0,0,0,38758,24,0.3,0
pepper,251,10,3.3,25,64,20,443,9.7,0
cumin,375,18,22,10,44,168,931,66.4,7.7
turmeric,354,8,10,21,65,38,183,41.4,25.9
cinnamon,247,4,1.2,53,81,10,1002,8.3,3.8
oregano,265,9,4.3,43,69,25,1597,36.8,2.3
basil,22,3.2,0.6,1.6,2.7,4,177,3.2,18
parsley,36,3,0.8,3.3,6,56,138,6.2,133
cilantro,23,2.1,0.5,2.8,3.7,46,67,1.8,27
mint,70,3.8,0.9,8,14,30,199,5.1,31.8
thyme,101,6,1.7,14,24,55,405,17.5,160.1
rosemary,131,3.3,5.9,14,21,26,317,6.7,22
sage,315,11,13,40,61,11,1652,28.1,32.4
tarragon,295,23,7,7,50,62,1139,32.3,50
dill,43,3.5,1.1,2.1,7,61,208,6.6,85
chives,30,3.3,0.7,2.5,4.4,3,92,1.6,58.1
